full_name,name,owner,url,stars,forks
"shurko-net/crypto-crash","crypto-crash","shurko-net","https://github.com/shurko-net/crypto-crash",1,0
"monad-developers/monad-china101-demo","monad-china101-demo","monad-developers","https://github.com/monad-developers/monad-china101-demo",2,1
"Rohanarora17/zora","zora","Rohanarora17","https://github.com/Rohanarora17/zora",0,1
"nathfred/eth-payroll-escrow","eth-payroll-escrow","nathfred","https://github.com/nathfred/eth-payroll-escrow",0,0
"jimpick/winter-industries-dapp","winter-industries-dapp","jimpick","https://github.com/jimpick/winter-industries-dapp",0,0
"dewdrip/lyxaxis","lyxaxis","dewdrip","https://github.com/dewdrip/lyxaxis",1,0
"ValentineCodes/lyxaxis","lyxaxis","ValentineCodes","https://github.com/ValentineCodes/lyxaxis",0,0
"fersoria/merch3-rewards","merch3-rewards","fersoria","https://github.com/fersoria/merch3-rewards",0,0
"ojasarora77/soulcertify_","soulcertify_","ojasarora77","https://github.com/ojasarora77/soulcertify_",0,0
"JesusLopezml/xipotec","xipotec","JesusLopezml","https://github.com/JesusLopezml/xipotec",0,0
"bardak-dev/0w","0w","bardak-dev","https://github.com/bardak-dev/0w",0,0
"liz-durang/plannh3r-ethcdm-hackathon","plannh3r-ethcdm-hackathon","liz-durang","https://github.com/liz-durang/plannh3r-ethcdm-hackathon",0,0
"liqwang/speedrun-ethereum","speedrun-ethereum","liqwang","https://github.com/liqwang/speedrun-ethereum",0,0
"jansorianowork/speed-run-eth-one","speed-run-eth-one","jansorianowork","https://github.com/jansorianowork/speed-run-eth-one",0,0
"jansorianowork/speed-run-eth-zero","speed-run-eth-zero","jansorianowork","https://github.com/jansorianowork/speed-run-eth-zero",0,0
"shrestha-das/decentralized-staking","decentralized-staking","shrestha-das","https://github.com/shrestha-das/decentralized-staking",0,0
"shrestha-das/token-vendor","token-vendor","shrestha-das","https://github.com/shrestha-das/token-vendor",0,0
"Rohanarora17/secureassets","secureassets","Rohanarora17","https://github.com/Rohanarora17/secureassets",0,0
"EnigmaticJ3rry/meowmeow","meowmeow","EnigmaticJ3rry","https://github.com/EnigmaticJ3rry/meowmeow",0,0
